,year,selling_price,km_driven,StateorProvince,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,sold,Region,brand
425,2017,270000,31100,New York,New City,Petrol,Dealer,Manual,First Owner,22.7,799,53.64,5,N,East,DATSUN
426,2014,455000,42312,New York,Mount Vernon,Diesel,Dealer,Manual,First Owner,24.4,1120,71,5,N,East,HYUNDAI
427,2011,300000,72000,New York,New Rochelle,Petrol,Dealer,Manual,First Owner,17.6,1496,88.7,5,N,East,TOYOTA
428,2019,700000,30000,New York,Cohoes,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,N,East,MARUTI
429,2013,220000,80000,New York,Cohoes,Diesel,Individual,Manual,First Owner,23.03,1396,69,5,N,East,TATA
430,2018,2475000,2000,New York,Buffalo,Diesel,Dealer,Automatic,First Owner,16.8,1984,150,5,N,East,VOLVO
431,2016,380000,80000,New York,Buffalo,Diesel,Individual,Manual,Second Owner,24.4,1120,71,5,N,East,HYUNDAI
432,2011,300000,120000,New York,Buffalo,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,7,N,East,TATA
433,2014,240000,50000,New York,Buffalo,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,N,East,MARUTI
434,2011,325000,70000,New York,Centereach,Diesel,Individual,Manual,First Owner,22.9,1248,74,5,N,East,MARUTI
435,2008,110000,80000,New York,Harrison,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061,67,5,N,East,MARUTI
436,2016,850000,100000,New York,Harrison,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,N,East,MARUTI
437,2014,545000,110000,New York,Harrison,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,N,East,MARUTI
438,2018,2064000,24000,New York,Hempstead,Diesel,Individual,Manual,First Owner,13.68,2393,147.8,8,N,East,TOYOTA
439,2018,950000,25000,New York,Harrison,Diesel,Individual,Manual,First Owner,25.1,1248,88.5,5,N,East,MARUTI
440,2013,200000,68697,New York,Harrison,Petrol,Individual,Manual,Third Owner,21.1,814,55.2,5,N,East,HYUNDAI
441,2017,660000,30000,New York,Hempstead,Diesel,Individual,Manual,First Owner,25.2,1248,74,5,N,East,MARUTI
442,2013,420000,40000,New York,Hempstead,Diesel,Individual,Manual,Second Owner,25.8,1498,98.6,5,N,East,HONDA
443,2012,250000,80000,New York,Watertown,Diesel,Individual,Manual,Fourth & Above Owner,15.3,2956,83.8,7,N,East,TATA
444,2016,660000,110000,New York,Watertown,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5,N,East,HYUNDAI
445,2015,450000,40000,New York,Watertown,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,N,East,TATA
446,2012,400000,110000,New York,Valley Stream,Diesel,Individual,Manual,Second Owner,19.7,1598,103.6,5,N,East,VOLKSWAGEN
447,2019,1300000,20000,New York,Watertown,Diesel,Individual,Manual,First Owner,16.36,2179,120,7,N,East,MAHINDRA
448,2013,229999,230000,New York,Watertown,Diesel,Individual,Manual,First Owner,20,1399,68.1,5,N,East,FORD
449,2010,140000,60000,New York,Watertown,Petrol,Individual,Manual,First Owner,18.6,1199,79.4,5,N,East,CHEVROLET
450,2012,195000,35000,New York,Watertown,Petrol,Individual,Manual,Second Owner,19,998,67.1,5,N,East,MARUTI
451,2014,400000,10000,New York,Long Beach,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5,N,East,HYUNDAI
452,2018,380000,19000,New York,Long Beach,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,N,East,MARUTI
453,2019,400000,25000,New York,Long Beach,Petrol,Individual,Manual,First Owner,18.15,1198,82,6,N,East,MAHINDRA
454,2012,270000,30000,New York,Long Beach,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5,N,East,HYUNDAI
455,2017,475000,20000,New York,Lindenhurst,Petrol,Individual,Manual,First Owner,23.84,1199,84,5,N,East,TATA
456,2018,850000,48000,New York,Lindenhurst,Diesel,Individual,Manual,First Owner,19.87,1461,83.14,5,N,East,NISSAN
457,2009,475000,120000,New York,Lindenhurst,Diesel,Individual,Manual,First Owner,12.05,2179,120,7,N,East,MAHINDRA
458,2017,570000,51000,New York,East Meadow,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,7,N,East,TATA
459,2017,290000,40000,New York,Dix Hills,Diesel,Individual,Manual,First Owner,25,1396,69,5,N,East,TATA
460,2011,229999,40000,New York,East Meadow,Diesel,Individual,Manual,Second Owner,20,1399,68,5,N,East,FORD
461,2012,300000,70000,New York,East Meadow,Diesel,Individual,Manual,First Owner,20,1399,68,5,N,East,FORD
462,2010,220000,110000,New York,East Meadow,Diesel,Individual,Manual,Third Owner,21.1,1248,73.9,5,N,East,MARUTI
463,2011,409999,80000,New York,East Meadow,Diesel,Individual,Manual,Second Owner,18.3,1991,147.9,5,N,East,CHEVROLET
464,2013,355000,136000,New York,East Meadow,Diesel,Individual,Manual,Second Owner,18.2,1248,73.8,7,N,East,CHEVROLET
465,2017,880000,65000,New York,Cheektowaga,Diesel,Individual,Manual,First Owner,19.98,1461,108.5,8,N,East,RENAULT
466,2005,250000,80000,New York,Cheektowaga,Diesel,Individual,Manual,First Owner,13.6,2523,63,7,N,East,MAHINDRA
467,2016,550000,120000,New York,Central Islip,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,9,N,East,MAHINDRA
468,2018,530000,60000,New York,Commack,Diesel,Individual,Manual,First Owner,25.4,1186,73.97,5,N,East,HYUNDAI
469,2013,750000,110000,New York,Commack,Diesel,Individual,Manual,Second Owner,15.1,2179,140,7,N,East,MAHINDRA
470,2017,310000,35000,New York,Central Islip,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,N,East,MARUTI
471,2014,620000,130000,New York,Central Islip,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,7,N,East,MARUTI
472,2013,400000,188000,New York,Commack,Diesel,Individual,Manual,Second Owner,22.9,1248,74,5,N,East,MARUTI
473,2008,67000,80000,New York,Commack,Diesel,Individual,Manual,Second Owner,17.2,1396,53.5,5,N,East,TATA
474,2015,480000,80000,New York,Centereach,Diesel,Individual,Manual,First Owner,25.83,1498,99,5,N,East,FORD
475,2008,110000,48676,New York,Centereach,Petrol,Individual,Manual,First Owner,19.7,796,35,8,N,East,MARUTI
476,2018,475000,40000,New York,Centereach,Petrol,Individual,Manual,First Owner,20.62,1198,67,7,N,East,DATSUN
477,2018,300000,15000,New York,Commack,Petrol,Individual,Manual,Second Owner,24.7,796,47.3,5,N,East,MARUTI
478,2007,100000,70000,New York,Centereach,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,N,East,MARUTI
479,2011,70000,80000,New York,Centereach,Diesel,Individual,Manual,Second Owner,17,1405,71,5,N,East,TATA
480,2017,900000,60000,New York,Centereach,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,N,East,FORD
481,2017,650000,120000,New York,Cheektowaga,Diesel,Individual,Manual,Second Owner,23.59,1364,67.04,5,N,East,TOYOTA
482,2011,390000,153000,New York,Port Chester,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5,N,East,HYUNDAI
483,2016,515000,100000,New York,Port Chester,Diesel,Individual,Manual,First Owner,25.83,1498,99,5,N,East,FORD
484,2012,380000,80000,New York,Port Chester,Diesel,Individual,Manual,Fourth & Above Owner,21.5,1248,88.8,5,N,East,MARUTI
485,2017,445000,27000,New York,Port Chester,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5,N,East,HYUNDAI
486,2015,335000,120000,New York,Port Chester,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,N,East,MARUTI
487,2015,600000,80000,New York,Port Chester,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,N,East,MAHINDRA
488,2015,110000,15000,New York,Port Chester,Petrol,Individual,Manual,First Owner,25.4,624,37.5,4,N,East,TATA
489,2014,240000,90000,New York,Port Chester,Petrol,Individual,Manual,Second Owner,23.95,998,67.05,5,N,East,MARUTI
490,2016,300000,90000,New York,Port Chester,Petrol,Individual,Manual,First Owner,23.84,1199,84,5,N,East,TATA
491,2011,125000,90000,New York,Roosevelt,Petrol,Individual,Manual,Second Owner,18.6,1199,79.4,5,N,East,CHEVROLET
492,2012,124000,40000,New York,Roosevelt,Petrol,Individual,Manual,Second Owner,18.6,1199,79.4,5,N,East,CHEVROLET
493,2015,200000,50000,New York,Roosevelt,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,5,N,East,CHEVROLET
494,2009,155000,110000,New York,Plainview,Diesel,Individual,Manual,Third Owner,17.7,1399,68,5,N,East,FORD
495,2012,450000,370000,New York,Plainview,Diesel,Individual,Manual,First Owner,12.05,2179,120,9,N,East,MAHINDRA
496,2014,645000,150360,New York,Plainview,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5,N,East,HYUNDAI
497,2017,597000,15000,New York,Plainview,Diesel,Individual,Manual,First Owner,24.7,1047,69,5,N,East,TATA
498,2011,180000,70000,New York,Plainview,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5,N,East,MARUTI
499,2011,70000,40000,New York,Plainview,Petrol,Individual,Manual,First Owner,26,624,35,4,N,East,TATA
500,2017,680000,71000,New York,Lindenhurst,Diesel,Individual,Manual,First Owner,27.39,1248,74,5,N,East,MARUTI
501,2017,1050000,50000,New York,Lindenhurst,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5,N,East,HONDA
502,2015,450000,57000,New York,Jamestown,Diesel,Individual,Manual,First Owner,23,1248,88.7,5,N,East,TATA
503,2010,210000,43000,New York,Jamestown,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5,N,East,MARUTI
504,2014,470000,60000,New York,Jamestown,Diesel,Individual,Manual,First Owner,23.4,1248,74,5,N,East,MARUTI
505,2014,470000,60000,New York,Levittown,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5,N,East,MARUTI
506,2015,550000,40000,New York,Levittown,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,N,East,HYUNDAI
507,2011,204999,60000,New York,Jamestown,Petrol,Individual,Manual,First Owner,19,998,66.1,5,N,East,MARUTI
508,2015,950000,30000,New York,Levittown,Petrol,Individual,Automatic,First Owner,18,1497,117.3,5,N,East,HONDA
509,2015,550000,160000,New York,Lindenhurst,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5,N,East,HYUNDAI
510,2007,270000,147500,New York,Levittown,Diesel,Individual,Manual,Second Owner,12.8,2494,102,7,N,East,TOYOTA
511,2013,280000,90000,New York,Levittown,Diesel,Individual,Manual,Third Owner,22.07,1199,73.9,5,N,East,VOLKSWAGEN
512,2015,630000,70000,New York,Jamestown,Diesel,Individual,Manual,Second Owner,28.09,1248,88.5,5,N,East,MARUTI
513,2007,220000,70000,New York,Ithaca,Petrol,Individual,Manual,First Owner,17.7,1497,78,5,N,East,HONDA
514,2014,320000,120000,New York,Ithaca,Diesel,Individual,Manual,First Owner,14.95,2489,93.7,7,N,East,MAHINDRA
515,2013,225000,75000,New York,Jamestown,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5,N,East,HYUNDAI
516,2010,380000,85000,New York,Levittown,Petrol,Individual,Manual,Second Owner,17,1497,118,5,N,East,HONDA
517,2016,725000,30000,New York,Shirley,Diesel,Individual,Manual,First Owner,21.7,1498,98.96,5,N,East,FORD
518,2019,1200000,15000,New York,Shirley,Diesel,Individual,Manual,First Owner,20,1497,115,5,N,East,MAHINDRA
519,2018,650000,40000,New York,Shirley,Diesel,Dealer,Manual,First Owner,20.14,1498,88,5,N,East,VOLKSWAGEN
520,2019,1090000,16500,New York,Shirley,Petrol,Dealer,Manual,First Owner,17,1197,110,5,N,East,MAHINDRA
521,2017,1100000,67000,New York,Shirley,Diesel,Individual,Automatic,First Owner,17.01,1582,126.2,5,N,East,HYUNDAI
522,2017,670000,48000,New York,Shirley,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,N,East,HYUNDAI
523,2018,780000,35000,New York,Shirley,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,N,East,HYUNDAI
524,2013,450000,43978,New York,Mount Vernon,Diesel,Dealer,Manual,Second Owner,28.4,1248,74,5,N,East,MARUTI
525,2016,450000,40000,New York,Mount Vernon,Petrol,Individual,Manual,First Owner,18.9,1197,82,5,N,East,HYUNDAI
526,2016,595000,131111,New York,Cohoes,Diesel,Individual,Manual,First Owner,25.2,1248,74,5,N,East,MARUTI
527,2007,150000,120000,New York,Cohoes,Diesel,Individual,Manual,Second Owner,19.2,1461,65,5,N,East,MAHINDRA
528,2012,400000,58400,New York,Cohoes,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,N,East,MARUTI
529,2016,310000,23400,New York,Cohoes,Petrol,Individual,Manual,Second Owner,23.95,998,67.1,5,N,East,MARUTI
530,2017,270000,50000,New York,Woodmere,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,N,East,RENAULT
531,2017,550000,40000,New York,Woodmere,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5,N,East,HYUNDAI
532,2012,325000,90000,New York,Woodmere,Diesel,Individual,Manual,First Owner,22.9,1248,74,5,N,East,MARUTI
533,2012,750000,120000,New York,Woodmere,Diesel,Individual,Manual,First Owner,12.05,2179,120,8,N,East,MAHINDRA
534,2018,400000,40000,New York,Woodmere,Petrol,Individual,Manual,First Owner,23.84,1199,84,5,N,East,TATA
535,2004,70000,70000,New York,Schenectady,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,N,East,MARUTI
536,2014,910000,80000,New York,Schenectady,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,8,N,East,TOYOTA
537,2018,720000,25000,New York,Schenectady,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,N,East,MARUTI
538,2015,590000,50000,New York,Schenectady,Diesel,Individual,Manual,First Owner,26.59,1248,74,5,N,East,MARUTI
539,2015,434000,120000,New York,Schenectady,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,10,N,East,CHEVROLET
540,2006,145000,170000,New York,Schenectady,Diesel,Individual,Manual,First Owner,13.6,2523,63,7,N,East,MAHINDRA
541,2017,350000,26263,New York,East Massapequa,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,N,East,HYUNDAI
542,2013,550000,80000,New York,East Massapequa,Diesel,Dealer,Manual,First Owner,25,1493,113.42,5,N,East,HYUNDAI
543,2016,675000,108000,New York,East Massapequa,Diesel,Dealer,Manual,First Owner,23.65,1248,88.5,5,N,East,MARUTI
544,2015,1400000,170000,New York,East Massapequa,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,7,N,East,TOYOTA
545,2018,1220000,11000,New York,East Massapequa,Petrol,Individual,Manual,First Owner,15.8,1591,121.3,5,N,East,HYUNDAI
546,2018,300000,30000,New York,East Massapequa,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,N,East,MARUTI
547,2018,1180000,5500,New York,East Massapequa,Petrol,Individual,Manual,First Owner,17.4,1497,117.6,5,N,East,HONDA
548,2015,500000,117000,New York,Glen Cove,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,N,East,MARUTI
549,2008,240000,90000,New York,Glen Cove,Petrol,Individual,Manual,Second Owner,17.7,1497,78,5,N,East,HONDA
550,2008,170000,80000,New York,Glen Cove,Petrol,Individual,Manual,Third Owner,16.1,1298,88.2,5,N,East,MARUTI
551,2017,270000,35000,New York,Glen Cove,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,N,East,MARUTI
552,2004,100000,40000,New York,Glen Cove,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5,N,East,MARUTI
553,2015,350000,46357,New York,Harrison,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5,N,East,MARUTI
554,2011,240000,80000,New York,Harrison,Petrol,Individual,Manual,Second Owner,16.6,1388,68,5,N,East,FORD
555,2011,600000,43000,New York,Glen Cove,Petrol,Dealer,Automatic,First Owner,13.4,1997,135.1,5,N,East,RENAULT
556,2007,100000,60000,New York,Kenmore,Petrol,Individual,Manual,Third Owner,14.7,1150,76,5,N,East,CHEVROLET
557,2010,210000,44500,New York,Kenmore,Petrol,Dealer,Manual,First Owner,16.47,1198,74,5,N,East,VOLKSWAGEN
558,2016,526000,15000,New York,Kenmore,Petrol,Dealer,Manual,First Owner,18.7,1199,88.7,5,N,East,HONDA
559,2006,158000,140000,Illinois,Chicago,Petrol,Individual,Manual,Third Owner,17.7,1497,78,5,Y,Central,HONDA
560,2010,225000,127000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,23,1396,90,5,Y,Central,HYUNDAI
561,2017,670000,70000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,Y,Central,MARUTI
562,2012,150000,35000,Illinois,Chicago,Petrol,Individual,Manual,Second Owner,14,796,35,5,Y,Central,MARUTI
563,2018,819999,32600,Illinois,Chicago,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5,Y,Central,MARUTI
564,2017,500000,80000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5,Y,Central,VOLKSWAGEN
565,2015,610000,90000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,Y,Central,FORD
566,2016,2500000,30000,Illinois,Chicago,Petrol,Individual,Automatic,Second Owner,15.71,1998,189,5,Y,Central,BMW
567,2010,300000,48000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,15.8,1172,65,5,Y,Central,TATA
568,2018,2550000,18000,Illinois,Chicago,Petrol,Dealer,Automatic,First Owner,15.04,1991,183,5,Y,Central,MERCEDES-BENZ
569,2010,320000,100000,Illinois,Chicago,Petrol,Individual,Manual,Third Owner,16.2,1599,103.2,5,Y,Central,HYUNDAI
570,2016,360000,50000,Illinois,Chicago,CNG,Individual,Manual,First Owner,26.6,998,58.16,5,Y,Central,MARUTI
571,2017,550000,50000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,Y,Central,MARUTI
572,2018,700000,7800,Illinois,Chicago,Petrol,Individual,Automatic,First Owner,22,1197,81.8,5,Y,Central,MARUTI
573,2017,500000,20000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,Y,Central,MARUTI
574,2018,700000,50000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,Y,Central,MARUTI
575,2013,300000,120000,Illinois,Chicago,Diesel,Individual,Manual,Second Owner,17.21,1493,100,7,Y,Central,MAHINDRA
576,2010,250000,110000,Illinois,Chicago,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,5,Y,Central,MARUTI
577,2015,650000,125000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,15.1,2179,140,7,Y,Central,MAHINDRA
578,2017,450000,35000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,18.9,1197,82,5,Y,Central,HYUNDAI
579,2017,409999,47000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,Y,Central,MARUTI
580,2010,254999,80000,Illinois,Chicago,Petrol,Individual,Manual,Fourth & Above Owner,17,1197,80,5,Y,Central,HYUNDAI
581,2003,65000,60000,Illinois,Chicago,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60,5,Y,Central,MARUTI
582,2013,480000,110000,Illinois,Chicago,Diesel,Individual,Manual,Third Owner,20.77,1248,88.76,7,Y,Central,MARUTI
583,2012,64000,18000,Illinois,Chicago,Petrol,Dealer,Manual,First Owner,25.4,624,37.5,4,Y,Central,TATA
584,2016,240000,50000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,Y,Central,MARUTI
585,2017,950000,45000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,21.38,1396,88.7,5,Y,Central,HYUNDAI
586,2010,160000,80000,Illinois,Chicago,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,Y,Central,MARUTI
587,2015,409999,135000,Illinois,Chicago,Diesel,Individual,Manual,Second Owner,24.4,1120,71.01,5,Y,Central,HYUNDAI
588,2014,385000,25000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5,Y,Central,MARUTI
589,2015,1050000,120000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,7,Y,Central,TOYOTA
590,2015,2000000,60000,Illinois,Chicago,Diesel,Individual,Automatic,First Owner,12.55,2982,168.5,7,Y,Central,TOYOTA
591,2016,600000,147000,Illinois,Chicago,Diesel,Individual,Manual,Second Owner,26.59,1248,74,5,Y,Central,MARUTI
592,2016,370000,35000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,19.49,1198,67.04,5,Y,Central,NISSAN
593,2010,260000,110000,Illinois,Chicago,Diesel,Individual,Manual,Second Owner,16.2,1493,110,5,Y,Central,HYUNDAI
594,2009,88000,201850,Illinois,Chicago,Diesel,Individual,Manual,Second Owner,17.88,1396,52.8,5,Y,Central,TATA
595,2015,390000,40000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,Y,Central,MARUTI
596,2009,275000,90000,Illinois,Chicago,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,Y,Central,MARUTI
597,2015,503000,110000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,Y,Central,TATA
598,2017,775000,32000,Illinois,Chicago,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5,Y,Central,MARUTI
599,2011,220000,120000,Illinois,Chicago,Diesel,Individual,Manual,Second Owner,23,1396,90,5,Y,Central,HYUNDAI
600,2013,950000,181491,Illinois,Chicago,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,7,Y,Central,MITSUBISHI
601,2016,375000,53319,Illinois,Chicago,Diesel,Dealer,Manual,First Owner,25.44,936,56.3,5,Y,Central,CHEVROLET
602,2017,700000,40906,Illinois,Chicago,Diesel,Dealer,Manual,First Owner,21.66,1498,108.62,5,Y,Central,VOLKSWAGEN
603,2014,420000,80000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,23.4,1248,74,5,Y,Central,MARUTI
604,2019,3800000,20000,Illinois,Chicago,Diesel,Individual,Automatic,First Owner,18,1969,190,5,Y,Central,VOLVO
605,2019,5400000,7500,Illinois,Chicago,Diesel,Dealer,Automatic,First Owner,16.78,1995,190,5,Y,Central,BMW
606,2015,634000,165000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,18.49,1493,100,7,Y,Central,MAHINDRA
607,2012,135000,120000,Illinois,Chicago,Diesel,Individual,Manual,Second Owner,19,1405,71,5,Y,Central,TATA
608,2016,350000,80000,Illinois,Chicago,Petrol,Individual,Manual,Second Owner,19.1,1197,82,5,Y,Central,HYUNDAI
609,2018,1100000,25000,Illinois,Chicago,Petrol,Individual,Automatic,First Owner,17.8,1496,105.5,5,Y,Central,TOYOTA
610,2019,875000,25000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,18.49,1493,100,7,Y,Central,MAHINDRA
611,2011,420000,100000,Illinois,Chicago,Diesel,Individual,Manual,Second Owner,13.5,2179,115,5,Y,Central,MAHINDRA
612,2007,325000,70000,Illinois,Chicago,Petrol,Individual,Automatic,Second Owner,10.1,2354,152,5,Y,Central,HONDA
613,2017,385000,30000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,20.63,1198,67.06,5,Y,Central,DATSUN
614,2018,531000,20000,Illinois,Chicago,Petrol,Individual,Automatic,First Owner,18.9,1197,81.86,5,Y,Central,HYUNDAI
615,2017,300000,35000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,23.01,999,67,5,Y,Central,RENAULT
616,2014,350000,60000,Illinois,Chicago,Diesel,Individual,Manual,Second Owner,20.14,1498,88.8,5,Y,Central,VOLKSWAGEN
617,2010,275000,80000,Illinois,Chicago,Diesel,Individual,Manual,Fourth & Above Owner,22.07,1199,73.9,5,Y,Central,VOLKSWAGEN
618,2019,600000,20000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5,Y,Central,HYUNDAI
619,2017,229999,80000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,22.7,799,53,5,Y,Central,DATSUN
620,2003,150000,132478,Illinois,Chicago,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7,Y,Central,MAHINDRA
621,2014,500000,45000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5,Y,Central,MARUTI
622,2015,204999,43000,Illinois,Chicago,Petrol,Individual,Manual,Second Owner,20.3,998,68.05,5,Y,Central,HYUNDAI
623,2017,625000,43000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,Y,Central,MARUTI
624,2013,600000,60000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,7,Y,Central,MARUTI
625,2011,150000,150000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,12.8,1396,85,5,Y,Central,TATA
626,2017,300000,35000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,23.01,999,67,5,Y,Central,RENAULT
627,2015,270000,43000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5,Y,Central,HYUNDAI
628,2019,675000,5000,Illinois,Chicago,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5,Y,Central,MARUTI
629,2013,700000,120000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,22.7,1582,126.24,5,Y,Central,HYUNDAI
630,2013,300000,65000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,22.1,1248,76.9,5,Y,Central,CHEVROLET
631,2005,65000,85000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,15.3,1341,83,5,Y,Central,HYUNDAI
632,2011,200000,94000,Illinois,Chicago,Petrol,Individual,Manual,Third Owner,18.9,998,67.1,5,Y,Central,MARUTI
633,2016,330000,20000,Illinois,Chicago,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,Y,Central,RENAULT
634,2014,480000,37000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,Y,Central,MAHINDRA
635,2018,950000,57000,Illinois,Chicago,Diesel,Individual,Manual,Second Owner,25.1,1248,88.5,5,Y,Central,MARUTI
636,2013,900000,85036,Illinois,Chicago,Diesel,Dealer,Manual,Second Owner,15.1,2179,140,7,Y,Central,MAHINDRA
637,2015,885000,170000,Illinois,Chicago,Diesel,Individual,Manual,First Owner,15.4,2179,120,7,Y,Central,MAHINDRA
638,2018,950000,40000,Illinois,Chicago,Diesel,Individual,Automatic,First Owner,21.5,1497,108.5,5,Y,Central,TATA
639,2008,229999,120000,Illinois,Chicago,Petrol,Individual,Manual,Second Owner,17,1497,118,5,Y,Central,HONDA
640,2011,300000,110000,Illinois,Chicago,Diesel,Individual,Manual,Third Owner,17.8,1399,68,5,Y,Central,FORD
641,2008,175000,120000,Illinois,Chicago,Diesel,Individual,Manual,Third Owner,16.8,1405,68,5,Y,Central,TATA
642,2011,272000,170000,Illinois,Highland Park,Diesel,Individual,Manual,Fourth & Above Owner,16.52,1991,123.7,5,Y,Central,CHEVROLET
643,2013,310000,70000,Illinois,Highland Park,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,5,Y,Central,HYUNDAI
644,2017,1125000,105000,Illinois,Highland Park,Diesel,Individual,Manual,First Owner,21.38,1396,88.7,5,Y,Central,HYUNDAI
645,2014,450000,46000,Illinois,Hoffman Estates,Petrol,Individual,Manual,Second Owner,19.1,1197,81.86,5,Y,Central,HYUNDAI
646,2011,388000,80000,Illinois,Hoffman Estates,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,5,Y,Central,VOLKSWAGEN
647,2011,400000,60000,Illinois,Hoffman Estates,Petrol,Individual,Manual,First Owner,16.2,1599,103.2,5,Y,Central,HYUNDAI
